reference_id,source_file,available_files,entry_type,citation_key,title,authors,year,container_title,publisher,organization,volume,issue,pages,doi,doi_url,url,note,raw_reference,raw_bib
LWCite-1011,LWCite-1011.txt,LWCite-1011.txt,web_reference,,PhotoRec Carver Module,Basis Technology,2025,,,,,,,,,https://sleuthkit.org/autopsy/docs/user-docs/4.22.0/photorec_carver_page.html,,"Basis Technology 2025, PhotoRec Carver Module, https://sleuthkit.org/autopsy/docs/user-docs/4.22.0/photorec_carver_page.html",
LWCite-1012,LWCite-1012.txt,LWCite-1012.txt,citation_text_reference,,"Social-Oriented Communication with AI Companions: Benefits, Costs, and Contextual Patterns","Bayor, L., Weinert, C., Maier, C.; Weitzel, T",2025,"Business & Information Systems Engineering, pp.1-19",,,,,,,,,,"Bayor, L., Weinert, C., Maier, C. and Weitzel, T., 2025. Social-Oriented Communication with AI Companions: Benefits, Costs, and Contextual Patterns. Business & Information Systems Engineering, pp.1-19.",
LWCite-1013,LWCite-1013.txt,LWCite-1013.txt,citation_text_reference,,Digital forensic text string searching: Improving information retrieval effectiveness by thematically clustering search results,"Beebe, N.L.; Clark, J.G",2007,"Digital investigation, 4, pp.49-54",,,,,,,,,,"Beebe, N.L. and Clark, J.G., 2007. Digital forensic text string searching: Improving information retrieval effectiveness by thematically clustering search results. Digital investigation, 4, pp.49-54.",
LWCite-1014,LWCite-1014.txt,LWCite-1014.txt,citation_text_reference,,Ranking algorithms for digital forensic string search hits,"Beebe, N.L.; Liu, L",2014,"Digital Investigation, 11, pp.S124-S132",,,,,,,,,,"Beebe, N.L. and Liu, L., 2014. Ranking algorithms for digital forensic string search hits. Digital Investigation, 11, pp.S124-S132.",
LWCite-1015,LWCite-1015.txt,LWCite-1015.txt,web_reference,,Dealing with Apple's USB Restricted Mode,Belkasoft,undated,,,,,,,,,https://belkasoft.com/dealing_with_usb_restricted_mode,,"Belkasoft (undated) Dealing with Apple's USB Restricted Mode, https://belkasoft.com/dealing_with_usb_restricted_mode",
LWCite-1016,LWCite-1016.txt,LWCite-1016.txt,web_reference,,Belkasoft,,,,,,,,,,,https://belkasoft.com/agent_based_ios_acquisition,,Belkasoft https://belkasoft.com/agent_based_ios_acquisition,
LWCite-1017,LWCite-1017.txt,LWCite-1017.txt,web_reference,,TimeSketch,Berggren at al,2014,,,,,,,,,https://timesketch.org,,"Berggren at al. (2014) TimeSketch, https://timesketch.org",
LWCite-1018,LWCite-1018.txt,LWCite-1018.txt,citation_text_reference,,Crime Scene Search,"Birzer, M.L",2018,"Introduction to Criminal Investigation, p.35",,,,,,,,,,"Birzer, M.L., 2018. Crime Scene Search. Introduction to Criminal Investigation, p.35.",
LWCite-1019,LWCite-1019.txt,LWCite-1019.txt,citation_text_reference,,SoK: Timeline based event reconstruction for digital forensics: Terminology,"Breitinger, F., Studiawan, H.; Hargreaves, C",2025,methodology,,,,,,,,,,"Breitinger, F., Studiawan, H. and Hargreaves, C., 2025. SoK: Timeline based event reconstruction for digital forensics: Terminology, methodology, and current challenges.",
LWCite-1020,LWCite-1020.bib,LWCite-1020.bib; LWCite-1020.txt,article,vanini2024clocks,Was the clock correct? Exploring timestamp interpretation through time anchors for digital forensic event reconstruction,Céline Vanini; Christopher J. Hargreaves; Harm van Beek; Frank Breitinger,2024,Forensic Science International: Digital Investigation,,,49,,301759,10.1016/j.fsidi.2024.301759,https://doi.org/10.1016/j.fsidi.2024.301759,https://www.sciencedirect.com/science/article/pii/S2666281724000787,,"C. Vanini, C. Hargreaves, H. van Beek, F. Breitinger, 2024, Was the clock correct? Exploring timestamp interpretation through time anchors for digital forensic event reconstruction, Forensic Science International: Digital Investigation, 10.1016/j.fsidi.2024.301759","@article{vanini2024clocks, title = {Was the clock correct? Exploring timestamp interpretation through time anchors for digital forensic event reconstruction}, journal = {Forensic Science International: Digital Investigation}, volume = {49}, pages = {301759}, year = {2024}, issn = {2666-2817}, doi = {https://doi.org/10.1016/j.fsidi.2024.301759}, url = {https://www.sciencedirect.com/science/article/pii/S2666281724000787}, author = {Céline Vanini and Christopher J. Hargreaves and Harm {van Beek} and Frank Breitinger} }"
LWCite-1021,LWCite-1021.txt,LWCite-1021.txt,web_reference,,The Forensic Implications of SQLite's Write Ahead Log,Caithness,2012,,,,,,,,,https://digitalinvestigation.wordpress.com/2012/05/04/the-forensic-implications-of-sqlites-write-ahead-log/,,"Caithness 2012, The Forensic Implications of SQLite’s Write Ahead Log, https://digitalinvestigation.wordpress.com/2012/05/04/the-forensic-implications-of-sqlites-write-ahead-log/",
LWCite-1022,LWCite-1022.txt,LWCite-1022.txt,web_reference,,Time travelling with SQLite Journals and WAL,Caithness,2024,,,,,,,,,https://www.cclsolutionsgroup.com/post/time-travelling-with-sqlite-journals-and-wal,,"Caithness 2024, Time travelling with SQLite Journals and WAL, https://www.cclsolutionsgroup.com/post/time-travelling-with-sqlite-journals-and-wal",
LWCite-1023,LWCite-1023.txt,LWCite-1023.txt,citation_text_reference,,Volatile memory acquisition tools–A comparison across taint and correctness,"Campbell, W",2013,11th Australian Digital Forensics Conference,,,,,,,,,,"Campbell, W., 2013. Volatile memory acquisition tools–A comparison across taint and correctness. 11th Australian Digital Forensics Conference. Edith Cowan University, Perth, Western Australia.",
LWCite-1024,LWCite-1024.txt,LWCite-1024.txt,citation_text_reference,,File system forensic analysis,"Carrier, B",2005,Addison-Wesley Professional,,,,,,,,,,"Carrier, B., 2005. File system forensic analysis. Addison-Wesley Professional.",
LWCite-1025,LWCite-1025.txt,LWCite-1025.txt,citation_text_reference,,Memory forensics: The path forward,"Case, A.; Richard III, G. G",2017,"Digital investigation, 20, 23-33",,,,,,,,,,"Case, A. and Richard III, G. G., 2017. Memory forensics: The path forward. Digital investigation, 20, 23-33.",
LWCite-1026,LWCite-1026.txt,LWCite-1026.txt,web_reference,,The growing impact of full disk encryption on digital forensics,Casey et al,2011,,,,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S1742287611000727?via%3Dihub,,"Casey et al (2011) The growing impact of full disk encryption on digital forensics, https://www.sciencedirect.com/science/article/abs/pii/S1742287611000727?via%3Dihub",
LWCite-1027,LWCite-1027.txt,LWCite-1027.txt,citation_text_reference,,Do identities matter?,"Casey, E.; Jaquet-Chiffelle, D.O",2019,"Policing: A Journal of Policy and Practice, 13(1), pp.21-34",,,,,,,,,,"Casey, E. and Jaquet-Chiffelle, D.O., 2019. Do identities matter?. Policing: A Journal of Policy and Practice, 13(1), pp.21-34.",
LWCite-1028,LWCite-1028.txt,LWCite-1028.txt,citation_text_reference,,"Digital evidence and computer crime: Forensic science, computers, and the internet","Casey, E",2011,"Academic press, Section 8.1.2",,,,,,,,,,"Casey, E., 2011. Digital evidence and computer crime: Forensic science, computers, and the internet. Academic press, Section 8.1.2",
LWCite-1029,LWCite-1029.txt,LWCite-1029.txt,citation_text_reference,,"Digital evidence and computer crime: Forensic science, computers, and the internet","Casey, E",2011,"Academic press, Section 8.1.3",,,,,,,,,,"Casey, E., 2011. Digital evidence and computer crime: Forensic science, computers, and the internet. Academic press, Section 8.1.3",
LWCite-1030,LWCite-1030.txt,LWCite-1030.txt,citation_text_reference,,Standardization of file recovery classification and authentication,"Casey, E., Nelson, A.; Hyde, J",2019,"Digital Investigation, 31, p.100873",,,,,,,,,,"Casey, E., Nelson, A. and Hyde, J., 2019. Standardization of file recovery classification and authentication. Digital Investigation, 31, p.100873.",
LWCite-1031,LWCite-1031.txt,LWCite-1031.txt,web_reference,,Full File System Extraction - Mobile Device Forensics,Cellebrite,undated,,,,,,,,,https://cellebrite.com/en/glossary/full-file-system-extraction-mobile-device-forensics/,,"Cellebrite (undated), Full File System Extraction - Mobile Device Forensics, https://cellebrite.com/en/glossary/full-file-system-extraction-mobile-device-forensics/",
LWCite-1032,LWCite-1032.txt,LWCite-1032.txt,citation_text_reference,,Private browsing: A window of forensic opportunity,"Chivers, H",2014,"Digital Investigation, 11(1), pp.20-29",,,,,,,,,,"Chivers, H., 2014. Private browsing: A window of forensic opportunity. Digital Investigation, 11(1), pp.20-29.",
LWCite-1033,LWCite-1033.txt,LWCite-1033.txt,web_reference,,PUMA (Programmable Utility for Mobile Automation),Claij-Swart et al,2025,,,,,,,,,https://github.com/NetherlandsForensicInstitute/puma,,"Claij-Swart et al. (2025), PUMA (Programmable Utility for Mobile Automation), https://github.com/NetherlandsForensicInstitute/puma",
LWCite-1034,LWCite-1034.txt,LWCite-1034.txt,citation_text_reference,,Automatically generating digital forensic reference data triggered by mobile application updates,"Claij-Swart, A.A., Oudsen, E., Timbermont, B., Hargreaves, C.; Voigt, L.L",2025,"Forensic Science International: Digital Investigation, 54, p.301985",,,,,,,,,,"Claij-Swart, A.A., Oudsen, E., Timbermont, B., Hargreaves, C. and Voigt, L.L., 2025. Automatically generating digital forensic reference data triggered by mobile application updates. Forensic Science International: Digital Investigation, 54, p.301985.",
LWCite-1035,LWCite-1035.txt,LWCite-1035.txt,citation_text_reference,,"Extending the advanced forensic format to accommodate multiple data sources, logical evidence, arbitrary information and forensic workflow","Cohen, M., Garfinkel, S.; Schatz, B",2009,"digital investigation, 6, pp.S57-S68",,,,,,,,,,"Cohen, M., Garfinkel, S. and Schatz, B., 2009. Extending the advanced forensic format to accommodate multiple data sources, logical evidence, arbitrary information and forensic workflow. digital investigation, 6, pp.S57-S68.",
LWCite-1036,LWCite-1036.txt,LWCite-1036.txt,web_reference,,"DSTL Digital Forensics Bulletin, TRIM & Garbage Collection on SSDs, Edition 27, July 2024 DSTL/PUB160897",,2024,,,,,,,,,https://mailchi.mp/3b5bda81ff5f/digital-forensic-bulletin-edition27-trim-and-garbage-collection-on-ssds9445401,,"DSTL Digital Forensics Bulletin, TRIM & Garbage Collection on SSDs, Edition 27, July 2024 DSTL/PUB160897, https://mailchi.mp/3b5bda81ff5f/digital-forensic-bulletin-edition27-trim-and-garbage-collection-on-ssds9445401",
LWCite-1037,LWCite-1037.txt,LWCite-1037.txt,web_reference,,‘Privacy by design – 10 ways MSAB can help you meet the challenges.' MSAB Blog,Dickinson,2020,Web resource,,,,,,,,https://www.msab.com/blog/privacy-by-design-10-ways-msab-can-help-you-meet-the-challenges/,,Dickinson (2020) ‘Privacy by design – 10 ways MSAB can help you meet the challenges.’ MSAB Blog. Available at: https://www.msab.com/blog/privacy-by-design-10-ways-msab-can-help-you-meet-the-challenges/,
LWCite-1038,LWCite-1038.txt,LWCite-1038.txt,web_reference,,Digital Detective Knowledgebase,,,,,,,,,,,https://kb.digital-detective.net/display/BF,,Digital Detective Knowledgebase https://kb.digital-detective.net/display/BF,
LWCite-1039,LWCite-1039.txt,LWCite-1039.txt,citation_text_reference,,Beyond timestamps: Integrating implicit timing information into digital forensic timelines,"Dreier, L.M., Vanini, C., Hargreaves, C.J., Breitinger, F.; Freiling, F",2024,"Forensic Science International: Digital Investigation, 49, p.301755",,,,,,,,,,"Dreier, L.M., Vanini, C., Hargreaves, C.J., Breitinger, F. and Freiling, F., 2024. Beyond timestamps: Integrating implicit timing information into digital forensic timelines. Forensic Science International: Digital Investigation, 49, p.301755.",
LWCite-1040,LWCite-1040.txt,LWCite-1040.txt,citation_text_reference,,File type identification tools for digital investigations,"Dubettier, A., Gernot, T., Giguet, E.; Rosenberger, C",2023,"Forensic Science International: Digital Investigation, 46, p.301574",,,,,,,,,,"Dubettier, A., Gernot, T., Giguet, E. and Rosenberger, C., 2023. File type identification tools for digital investigations. Forensic Science International: Digital Investigation, 46, p.301574.",
LWCite-1041,LWCite-1041.txt,LWCite-1041.txt,web_reference,,Elcomsoft 20203,,2023,,,,,,,,,https://blog.elcomsoft.com/2023/07/ios-device-acquisition-installing-the-extraction-agent/,,Elcomsoft 20203 https://blog.elcomsoft.com/2023/07/ios-device-acquisition-installing-the-extraction-agent/,
LWCite-1042,LWCite-1042.txt,LWCite-1042.txt,web_reference,,Forensically Sound checkm8 Based Extraction of iPhone 5s,Elcomsoft,2021,6,,,,,,,,https://blog.elcomsoft.com/2021/05/checkm8-based-extraction-of-iphone-5s-6-6s-and-se/,,"Elcomsoft 2021, Forensically Sound checkm8 Based Extraction of iPhone 5s, 6, 6s and SE, https://blog.elcomsoft.com/2021/05/checkm8-based-extraction-of-iphone-5s-6-6s-and-se/",
LWCite-1043,LWCite-1043.txt,LWCite-1043.txt,citation_text_reference,,Techniques of Crime Scene Investigation,Fisher; Fisher,2012,Eighth Edition,,,,,,,,,,"Fisher & Fisher. 2012, Techniques of Crime Scene Investigation, Eighth Edition, p82",
LWCite-1044,LWCite-1044.txt,LWCite-1044.txt,web_reference,,Incident scene examination (FSR-GUI-0006),Forensic Science Regulator,2025,GOV.UK,,,,,,,,https://www.gov.uk/government/publications/incident-scene-examination-fsr-gui-0006,,Forensic Science Regulator (2025) Incident scene examination (FSR-GUI-0006). GOV.UK. Available at: https://www.gov.uk/government/publications/incident-scene-examination-fsr-gui-0006,
LWCite-1045,LWCite-1045.txt,LWCite-1045.txt,citation_text_reference,,A new model for forensic data extraction from encrypted mobile devices,"Fukami, A., Stoykova, R.; Geradts, Z",2021,"Forensic Science International: Digital Investigation, 38, p.301169",,,,,,,,,,"Fukami, A., Stoykova, R. and Geradts, Z., 2021. A new model for forensic data extraction from encrypted mobile devices. Forensic Science International: Digital Investigation, 38, p.301169.",
LWCite-1046,LWCite-1046.txt,LWCite-1046.txt,citation_text_reference,,From sync to seizure: A binary instrumentation-based evaluation of the iCloud backup process,"Geus, J., Gruber, J., Wozar, J.; Freiling, F",2025,"Forensic Science International: Digital Investigation, 54, p.301978",,,,,,,,,,"Geus, J., Gruber, J., Wozar, J. and Freiling, F., 2025. From sync to seizure: A binary instrumentation-based evaluation of the iCloud backup process. Forensic Science International: Digital Investigation, 54, p.301978.",
LWCite-1047,LWCite-1047.txt,LWCite-1047.txt,web_reference,,Content provider basics,Google,2025,Web resource,,,,,,,,https://developer.android.com/guide/topics/providers/content-provider-basics,,Google (2025) Content provider basics. Available at: https://developer.android.com/guide/topics/providers/content-provider-basics.,
LWCite-1048,LWCite-1048.txt,LWCite-1048.txt,web_reference,,PhotoRec,Grenier,2023,,,,,,,,,https://www.cgsecurity.org/wiki/PhotoRec,,"Grenier (2023) PhotoRec, https://www.cgsecurity.org/wiki/PhotoRec",
LWCite-1049,LWCite-1049.txt,LWCite-1049.txt,citation_text_reference,,Android forensics: Automated data collection and reporting from a mobile device,"Grover, J",2013,"Digital Investigation, 10, pp.S12-S20",,,,,,,,,,"Grover, J., 2013. Android forensics: Automated data collection and reporting from a mobile device. Digital Investigation, 10, pp.S12-S20.",
LWCite-1050,LWCite-1050.txt,LWCite-1050.txt,citation_text_reference,,May. Systematic analysis of browser history evidence,"Groß, T., Dirauf, R.; Freiling, F",2020,2020 13th International Conference on Systematic Approaches to Digital Forensic Engineering (SADFE) (pp. 1-12). IEEE,,,,,,,,,,"Groß, T., Dirauf, R. and Freiling, F., 2020, May. Systematic analysis of browser history evidence. In 2020 13th International Conference on Systematic Approaches to Digital Forensic Engineering (SADFE) (pp. 1-12). IEEE.",
LWCite-1051,LWCite-1051.txt,LWCite-1051.txt,citation_text_reference,,"Evaluating atomicity, and integrity of correct memory acquisition methods","Gruhn, M.; Freiling, F.C",2016,"Digital Investigation, 16, S1-S10",,,,,,,,,,"Gruhn, M. and Freiling, F.C., 2016. Evaluating atomicity, and integrity of correct memory acquisition methods. Digital Investigation, 16, S1-S10.",
LWCite-1052,LWCite-1052.txt,LWCite-1052.txt,citation_text_reference,,Hidden disk areas: HPA and DCO,"Gupta, M.R., Hoeschele, M.D.; Rogers, M.K",2006,"International Journal of Digital Evidence, 5(1), pp.1-8",,,,,,,,,,"Gupta, M.R., Hoeschele, M.D. and Rogers, M.K., 2006. Hidden disk areas: HPA and DCO. International Journal of Digital Evidence, 5(1), pp.1-8.",
LWCite-1053,LWCite-1053.txt,LWCite-1053.txt,citation_text_reference,,Lest we remember: cold-boot attacks on encryption keys,"Halderman, J.A., Schoen, S.D., Heninger, N., Clarkson, W., Paul, W., Calandrino, J.A., Feldman, A.J., Appelbaum, J.; Felten, E.W",2009,"Communications of the ACM, 52(5), pp.91-98",,,,,,,,,,"Halderman, J.A., Schoen, S.D., Heninger, N., Clarkson, W., Paul, W., Calandrino, J.A., Feldman, A.J., Appelbaum, J. and Felten, E.W., 2009. Lest we remember: cold-boot attacks on encryption keys. Communications of the ACM, 52(5), pp.91-98.",
LWCite-1054,LWCite-1054.txt,LWCite-1054.txt,text_reference,,Hargreaves & Chivers 2008b,,,"Avoiding Live Imaging of Large Encrypted Volumes by Recovering Keys from Memory, Proceedings from 3rd Advances in Computer Security and Forensics",,,,,,,,,,"Hargreaves & Chivers 2008b. Avoiding Live Imaging of Large Encrypted Volumes by Recovering Keys from Memory, Proceedings from 3rd Advances in Computer Security and Forensics",
LWCite-1055,LWCite-1055.txt,LWCite-1055.txt,citation_text_reference,,"Forensic Analysis of AI Applications: A Replika ""AI Companion"" example",Hargreaves; Drury,2025,WSDF 2025,,,,,,,,,,"Hargreaves & Drury, 2025, Forensic Analysis of AI Applications: A Replika ""AI Companion"" example, WSDF 2025",
LWCite-1056,LWCite-1056.txt,LWCite-1056.txt,citation_text_reference,,March. Recovery of encryption keys from memory using a linear scan,"Hargreaves, C.; Chivers, H",2008,"2008 Third International Conference on Availability, Reliability and Security (pp. 1369-1376). IEEE",,,,,,,,,,"Hargreaves, C. and Chivers, H., 2008, March. Recovery of encryption keys from memory using a linear scan. In 2008 Third International Conference on Availability, Reliability and Security (pp. 1369-1376). IEEE.",
LWCite-1057,LWCite-1057.txt,LWCite-1057.txt,citation_text_reference,,SyncTriage: Using synchronisation artefacts to optimise acquisition order,"Hargreaves, C.; Marshall, A",2019,"Digital Investigation, 28, pp.S134-S140",,,,,,,,,,"Hargreaves, C. and Marshall, A., 2019. SyncTriage: Using synchronisation artefacts to optimise acquisition order. Digital Investigation, 28, pp.S134-S140.",
LWCite-1058,LWCite-1058.txt,LWCite-1058.txt,citation_text_reference,,An automated timeline reconstruction approach for digital forensic investigations,"Hargreaves, C.; Patterson, J",2012,"Digital Investigation, 9, pp.S69-S79",,,,,,,,,,"Hargreaves, C. and Patterson, J., 2012. An automated timeline reconstruction approach for digital forensic investigations. Digital Investigation, 9, pp.S69-S79.",
LWCite-1059,LWCite-1059.txt,LWCite-1059.txt,citation_text_reference,,Windows Vista and digital investigations,"Hargreaves, C., Chivers, H.; Titheridge, D",2008,"Digital Investigation, 5(1-2), pp.34-48",,,,,,,,,,"Hargreaves, C., Chivers, H. and Titheridge, D., 2008. Windows Vista and digital investigations. Digital Investigation, 5(1-2), pp.34-48.",
LWCite-1060,LWCite-1060.txt,LWCite-1060.txt,citation_text_reference,,An abstract model for digital forensic analysis tools-A foundation for systematic error mitigation analysis,"Hargreaves, C., Nelson, A.; Casey, E",2024,"Forensic Science International: Digital Investigation, 48, p.301679",,,,,,,,,,"Hargreaves, C., Nelson, A. and Casey, E., 2024. An abstract model for digital forensic analysis tools-A foundation for systematic error mitigation analysis. Forensic Science International: Digital Investigation, 48, p.301679.",
LWCite-1061,LWCite-1061.txt,LWCite-1061.txt,web_reference,,"Hargreaves, C., Repository for 'An abstract model for digital forensic analysis tools - A foundation for systematic error mitigation analysis'",,,,,,,,,,,https://github.com/chrishargreaves/digital-forensic-tool-abstractions/tree/main,,"Hargreaves, C., Repository for 'An abstract model for digital forensic analysis tools - A foundation for systematic error mitigation analysis', https://github.com/chrishargreaves/digital-forensic-tool-abstractions/tree/main",
LWCite-1062,LWCite-1062.txt,LWCite-1062.txt,citation_text_reference,,Assessing the reliability of digital evidence from live investigations involving encryption,"Hargreaves, C.J",2009,Chapter 5,,,,,,,,,,"Hargreaves, C.J., 2009. Assessing the reliability of digital evidence from live investigations involving encryption. Chapter 5",
LWCite-1063,LWCite-1063.txt,LWCite-1063.txt,citation_text_reference,,Assessing the reliability of digital evidence from live investigations involving encryption,"Hargreaves, C.J",2009,Chapter 6,,,,,,,,,,"Hargreaves, C.J., 2009. Assessing the reliability of digital evidence from live investigations involving encryption. Chapter 6",
LWCite-1064,LWCite-1064.txt,LWCite-1064.txt,citation_text_reference,,I didn't see that! An examination of internet browser cache behaviour following website visits,"Horsman, G",2018,"Digital Investigation, 25, pp.105-113",,,,,,,,,,"Horsman, G., 2018. I didn't see that! An examination of internet browser cache behaviour following website visits. Digital Investigation, 25, pp.105-113.",
LWCite-1065,LWCite-1065.txt,LWCite-1065.txt,citation_text_reference,,A forensic examination of online search facility URL record structures,"Horsman, G",2019,"Journal of forensic sciences, 64(1), pp.236-242",,,,,,,,,,"Horsman, G., 2019. A forensic examination of online search facility URL record structures. Journal of forensic sciences, 64(1), pp.236-242.",
LWCite-1066,LWCite-1066.txt,LWCite-1066.txt,citation_text_reference,,The challenge of identifying historic ‘private browsing'sessions on suspect devices,"Horsman, G",2020,"Forensic Science International: Digital Investigation, 34, p.300980",,,,,,,,,,"Horsman, G., 2020. The challenge of identifying historic ‘private browsing’sessions on suspect devices. Forensic Science International: Digital Investigation, 34, p.300980.",
LWCite-1067,LWCite-1067.txt,LWCite-1067.txt,citation_text_reference,,Forensic radio survey techniques for cell site analysis,"Hoy, J",2023,John Wiley & Sons,,,,,,,,,,"Hoy, J., 2023. Forensic radio survey techniques for cell site analysis. John Wiley & Sons.",
LWCite-1068,LWCite-1068.txt,LWCite-1068.txt,text_reference,,- Forensic sciences — Part 5: Reporting,ISO 21043-5:,2025,,,,,,,,,,,ISO 21043-5:2025 - Forensic sciences — Part 5: Reporting,
LWCite-1069,LWCite-1069.txt,LWCite-1069.txt,citation_text_reference,,Revisiting logical image formats for future digital forensics: A comprehensive analysis on L01 and AFF4-L,"Im, S., Park, H., Joun, J., Lee, S.; Park, J",2024,"Forensic Science International: Digital Investigation, 50",,,,,,,,,,"Im, S., Park, H., Joun, J., Lee, S. and Park, J., 2024. Revisiting logical image formats for future digital forensics: A comprehensive analysis on L01 and AFF4-L. Forensic Science International: Digital Investigation, 50",
LWCite-1070,LWCite-1070.txt,LWCite-1070.txt,citation_text_reference,,ISO/IEC 27042:2015 Guidelines for the analysis and interpretation of digital evidence,International Organization for Standardization (ISO),2015,,,,,,,,,,,International Organization for Standardization (ISO) (2015) ISO/IEC 27042:2015 Guidelines for the analysis and interpretation of digital evidence.,
LWCite-1071,LWCite-1071.txt,LWCite-1071.txt,web_reference,,Guidelines for digital forensics first responders v7,Interpol,2021,Ch5 Specific Procedures p34,,,,,,,,https://www.interpol.int/content/download/16243/file/Guidelines_to_Digital_Forensics_First_Responders_V7.pdf,,"Interpol (2021), Guidelines for digital forensics first responders v7, Ch5 Specific Procedures p34, https://www.interpol.int/content/download/16243/file/Guidelines_to_Digital_Forensics_First_Responders_V7.pdf",
LWCite-1072,LWCite-1072.txt,LWCite-1072.txt,citation_text_reference,,As if Time Had Stopped – Checking Memory Dumps for Quasi-Instantaneous Consistency,"Jenny Ottmann, Üsame Cengiz, Frank Breitinger,; Felix Freiling",2023,"Proceedings of the Digital Forensics Research Conference USA (DFRWS USA), Baltimore, MD, July 2023",,,,,,,,,,"Jenny Ottmann, Üsame Cengiz, Frank Breitinger, and Felix Freiling, 2023. As if Time Had Stopped – Checking Memory Dumps for Quasi-Instantaneous Consistency. In Proceedings of the Digital Forensics Research Conference USA (DFRWS USA), Baltimore, MD, July 2023.",
LWCite-1073,LWCite-1073.txt,LWCite-1073.txt,citation_text_reference,,The reliability of clocks as digital evidence under low voltage conditions,"Jens-Petter Sandvik, André Årnes",2018,"Digital Investigation, 24, pp.S10-S17",,,,,,,,,,"Jens-Petter Sandvik, André Årnes, 2018. The reliability of clocks as digital evidence under low voltage conditions. Digital Investigation, 24, pp.S10-S17.",
